document_id,question,type,options
Remote Work Policy,Company Name,text,None
Remote Work Policy,Company Locations,text,None
Remote Work Policy,Operating Country / Countries,text,None
Remote Work Policy,Effective Date,calendar,None
Remote Work Policy,Type of remote work,multi select,"[Fully Remote, Hybrid, On-site (No Remote)]"
Remote Work Policy,Eligibility (who this policy applies to):,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Remote Work Policy,Is approval required for remote work:,bol_radio,"[Yes, No]"
Remote Work Policy,Approval authority (if approval is required):,multi select,"[Direct Manager, Department Head, HR Business Partner, Executive Leadership, Compliance/Legal Team]"
Remote Work Policy,Working hours per day:,text,None
Remote Work Policy,Is working from another country allowed:,bol_radio,"[Yes, No]"
Remote Work Policy,Does the company provide work equipment:,bol_radio,"[Yes, No]"
Remote Work Policy,Can remote work be revoked by the company:,bol_radio,"[Yes, No]"
Remote Work Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
Remote Work Policy,"Specify allowed remote work locations, country restrictions, time zone requirements, and approval needs for location changes.",text area,None
Remote Work Policy,"Describe data security, system access, confidentiality requirements, and prohibited work environments for remote work.",text area,None
Remote Work Policy,"Define working hours, availability, communication expectations, and performance monitoring for remote employees.",text area,None
Remote Work Policy,"Outline legal, tax, payroll, or regulatory conditions that may limit or restrict remote work.",text area,None
PTO / Leave Policy,Company name,text,None
PTO / Leave Policy,Company locations,text,None
PTO / Leave Policy,Operating country/countries,text,None
PTO / Leave Policy,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
PTO / Leave Policy,Effective date,calendar,None
PTO / Leave Policy,Leave policy details,table,"[Leave Type , Annual Days, Accrual Type, Max Carry-Forward]"
PTO / Leave Policy,Does leave carry forward to the next period,bol_radio,"[Yes, No]"
PTO / Leave Policy,Which leave types are eligible for carry-forward,text,None
PTO / Leave Policy,Maximum carry-forward days (if applicable),text,None
PTO / Leave Policy,Who approves leave requests,multi select,"[Direct Manager, Department Head, HR Business Partner, Executive Leadership, Compliance/Legal Team]"
PTO / Leave Policy,Minimum number of days’ notice required before taking leave,text,None
PTO / Leave Policy,"If exceptions to this policy are allowed, please describe the specific circumstances.",text area,None
PTO / Leave Policy,"Is sandwich leave applicable? If yes, define the conditions under which weekends and/or holidays are counted as leave",text area,None
PTO / Leave Policy,"Define the eligibility rules for availing leave during the probation period and the notice period, including any restrictions, minimum tenure requirements, or leave types that are excluded.",text area,None
PTO / Leave Policy,"If exceptions to this policy are allowed, please describe the specific circumstances and justification for your request.",text area,None
Code of Conduct,Company name,text,None
Code of Conduct,Company locations,text,None
Code of Conduct,Operating country/countries,text,None
Code of Conduct,Applies to,multi select,"[Full-time, Part-time, Contractor, Intern, Freelance]"
Code of Conduct,Effective date,calendar,None
Code of Conduct,Is compliance with the Code of Conduct mandatory,bol_radio,"[Yes, No]"
Code of Conduct,Expected standard of professional behavior,multi select,"[Professional, Respectful, Ethical]"
Code of Conduct,Are conflicts of interest required to be disclosed,bol_radio,"[Yes, No]"
Code of Conduct,Is discrimination or harassment prohibited,bol_radio,"[Yes, No]"
Code of Conduct,Is the use of company property for personal purposes restricted,bol_radio,"[Yes, No]"
